2026-03-25T20:23:43.798493500,001,Vehicle Added
2026-03-25T20:23:59.157043500,002,Vehicle Added
2026-03-25T20:24:32.027367500,003,Vehicle Added
2026-03-25T20:25:00.681087400,001,Service Added: Oil Change
2026-03-25T20:25:32.034607900,001,Service Added: Tire Rotation
2026-03-25T20:25:52.234673800,002,Service Added: Brake Check
2026-03-25T20:26:23.451599100,INV,Part Added: 005
2026-03-25T20:26:36.645766100,INV,Part Added: 001
2026-03-25T20:27:03.246447700,INV,Part Added: 003
2026-03-25T20:27:29.578092800,ROUTE,Location Registered: Main Depot
2026-03-25T20:27:43.644955200,ROUTE,Location Registered: Warehouse
2026-03-25T20:28:06.893899700,ROUTE,Location Registered: Customer A
2026-03-25T20:28:18.144952300,ROUTE,Road Added: L1->L2
2026-03-25T20:28:30.895107300,ROUTE,Location Registered: Customer B
2026-03-25T20:28:45.539615100,ROUTE,Road Added: L2->L3
2026-03-25T20:28:57.949274,ROUTE,Road Added: L3->L4
2026-03-25T20:29:07.590698,ROUTE,Road Added: L1->L3
